window,horizon,t,truth,median,low80,high80,q10,q50,q90,naive
81,6,2025-10-12,5.016499996185303,4.948044776916504,4.3510355949401855,5.624225616455078,4.3510355949401855,4.948044776916504,5.624225616455078,4.986999988555908
81,7,2025-10-13,5.100500106811523,4.942552089691162,4.36514139175415,5.656055927276611,4.36514139175415,4.942552089691162,5.656055927276611,4.986999988555908
82,1,2025-10-08,5.046000003814697,5.0456624031066895,4.686100482940674,5.29022741317749,4.686100482940674,5.0456624031066895,5.29022741317749,5.047999858856201
82,2,2025-10-09,5.075500011444092,5.050806045532227,4.608650207519531,5.4292426109313965,4.608650207519531,5.050806045532227,5.4292426109313965,5.047999858856201
82,3,2025-10-10,4.848499774932861,5.067834377288818,4.590582847595215,5.585212230682373,4.590582847595215,5.067834377288818,5.585212230682373,5.047999858856201
82,4,2025-10-11,4.932499885559082,5.072528839111328,4.580587863922119,5.6659064292907715,4.580587863922119,5.072528839111328,5.6659064292907715,5.047999858856201
82,5,2025-10-12,5.016499996185303,5.097649574279785,4.508272171020508,5.71510124206543,4.508272171020508,5.097649574279785,5.71510124206543,5.047999858856201
82,6,2025-10-13,5.100500106811523,5.0794267654418945,4.465605735778809,5.783156871795654,4.465605735778809,5.0794267654418945,5.783156871795654,5.047999858856201
82,7,2025-10-14,4.980500221252441,5.084446907043457,4.458824634552002,5.819086074829102,4.458824634552002,5.084446907043457,5.819086074829102,5.047999858856201
83,1,2025-10-09,5.075500011444092,5.0508317947387695,4.774547576904297,5.287489891052246,4.774547576904297,5.0508317947387695,5.287489891052246,5.046000003814697
83,2,2025-10-10,4.848499774932861,5.047870635986328,4.650291442871094,5.431770324707031,4.650291442871094,5.047870635986328,5.431770324707031,5.046000003814697
83,3,2025-10-11,4.932499885559082,5.04787015914917,4.5234904289245605,5.557783603668213,4.5234904289245605,5.04787015914917,5.557783603668213,5.046000003814697
83,4,2025-10-12,5.016499996185303,5.0600433349609375,4.499597072601318,5.712484836578369,4.499597072601318,5.0600433349609375,5.712484836578369,5.046000003814697
83,5,2025-10-13,5.100500106811523,5.056761741638184,4.392029762268066,5.74708890914917,4.392029762268066,5.056761741638184,5.74708890914917,5.046000003814697
83,6,2025-10-14,4.980500221252441,5.03712797164917,4.3689866065979,5.759829998016357,4.3689866065979,5.03712797164917,5.759829998016357,5.046000003814697
83,7,2025-10-15,4.9720001220703125,5.037302017211914,4.301074981689453,5.828505039215088,4.301074981689453,5.037302017211914,5.828505039215088,5.046000003814697
84,1,2025-10-10,4.848499774932861,5.069236755371094,4.702386379241943,5.340245246887207,4.702386379241943,5.069236755371094,5.340245246887207,5.075500011444092
84,2,2025-10-11,4.932499885559082,5.07252311706543,4.581456184387207,5.473895072937012,4.581456184387207,5.07252311706543,5.473895072937012,5.075500011444092
84,3,2025-10-12,5.016499996185303,5.057666778564453,4.556768417358398,5.505147457122803,4.556768417358398,5.057666778564453,5.505147457122803,5.075500011444092
84,4,2025-10-13,5.100500106811523,5.0350751876831055,4.5343403816223145,5.551609516143799,4.5343403816223145,5.0350751876831055,5.551609516143799,5.075500011444092
84,5,2025-10-14,4.980500221252441,5.038187026977539,4.512279033660889,5.624661922454834,4.512279033660889,5.038187026977539,5.624661922454834,5.075500011444092
84,6,2025-10-15,4.9720001220703125,5.0037689208984375,4.479738712310791,5.758028507232666,4.479738712310791,5.0037689208984375,5.758028507232666,5.075500011444092
84,7,2025-10-16,4.958000183105469,5.045812606811523,4.425930976867676,5.850111484527588,4.425930976867676,5.045812606811523,5.850111484527588,5.075500011444092
85,1,2025-10-11,4.932499885559082,4.847002983093262,4.639260768890381,5.080594062805176,4.639260768890381,4.847002983093262,5.080594062805176,4.848499774932861
85,2,2025-10-12,5.016499996185303,4.847452163696289,4.44972038269043,5.335737705230713,4.44972038269043,4.847452163696289,5.335737705230713,4.848499774932861
85,3,2025-10-13,5.100500106811523,4.8490986824035645,4.361177921295166,5.457061767578125,4.361177921295166,4.8490986824035645,5.457061767578125,4.848499774932861
85,4,2025-10-14,4.980500221252441,4.829823970794678,4.256137371063232,5.509579658508301,4.256137371063232,4.829823970794678,5.509579658508301,4.848499774932861
85,5,2025-10-15,4.9720001220703125,4.829078674316406,4.208262920379639,5.617904186248779,4.208262920379639,4.829078674316406,5.617904186248779,4.848499774932861
85,6,2025-10-16,4.958000183105469,4.794025421142578,4.200189590454102,5.677853584289551,4.200189590454102,4.794025421142578,5.677853584289551,4.848499774932861
85,7,2025-10-17,4.93149995803833,4.768774032592773,4.17838191986084,5.683255195617676,4.17838191986084,4.768774032592773,5.683255195617676,4.848499774932861
86,1,2025-10-12,5.016499996185303,4.9299116134643555,4.724011421203613,5.201881408691406,4.724011421203613,4.9299116134643555,5.201881408691406,4.932499885559082
86,2,2025-10-13,5.100500106811523,4.936003684997559,4.635036468505859,5.35678768157959,4.635036468505859,4.936003684997559,5.35678768157959,4.932499885559082
86,3,2025-10-14,4.980500221252441,4.955703258514404,4.517684459686279,5.433788299560547,4.517684459686279,4.955703258514404,5.433788299560547,4.932499885559082
86,4,2025-10-15,4.9720001220703125,4.956162452697754,4.4501495361328125,5.473381996154785,4.4501495361328125,4.956162452697754,5.473381996154785,4.932499885559082
86,5,2025-10-16,4.958000183105469,4.976248741149902,4.387120246887207,5.518076419830322,4.387120246887207,4.976248741149902,5.518076419830322,4.932499885559082
86,6,2025-10-17,4.93149995803833,4.952798843383789,4.346513748168945,5.622991561889648,4.346513748168945,4.952798843383789,5.622991561889648,4.932499885559082
86,7,2025-10-18,4.953666687011719,5.002592086791992,4.289931297302246,5.635364055633545,4.289931297302246,5.002592086791992,5.635364055633545,4.932499885559082
87,1,2025-10-13,5.100500106811523,5.0223894119262695,4.805642604827881,5.3426337242126465,4.805642604827881,5.0223894119262695,5.3426337242126465,5.016499996185303
87,2,2025-10-14,4.980500221252441,5.00010871887207,4.656109809875488,5.485756874084473,4.656109809875488,5.00010871887207,5.485756874084473,5.016499996185303
87,3,2025-10-15,4.9720001220703125,5.008452892303467,4.563569068908691,5.5615763664245605,4.563569068908691,5.008452892303467,5.5615763664245605,5.016499996185303
87,4,2025-10-16,4.958000183105469,4.973933219909668,4.45786714553833,5.628568649291992,4.45786714553833,4.973933219909668,5.628568649291992,5.016499996185303
87,5,2025-10-17,4.93149995803833,4.997949600219727,4.414394855499268,5.659902095794678,4.414394855499268,4.997949600219727,5.659902095794678,5.016499996185303
87,6,2025-10-18,4.953666687011719,5.029065132141113,4.3742876052856445,5.814786911010742,4.3742876052856445,5.029065132141113,5.814786911010742,5.016499996185303
87,7,2025-10-19,4.975833415985107,5.016654968261719,4.370804786682129,5.825821399688721,4.370804786682129,5.016654968261719,5.825821399688721,5.016499996185303
88,1,2025-10-14,4.980500221252441,5.110589027404785,4.808261394500732,5.380515098571777,4.808261394500732,5.110589027404785,5.380515098571777,5.100500106811523
88,2,2025-10-15,4.9720001220703125,5.124493598937988,4.736649036407471,5.487185001373291,4.736649036407471,5.124493598937988,5.487185001373291,5.100500106811523
88,3,2025-10-16,4.958000183105469,5.123543739318848,4.6199445724487305,5.594444274902344,4.6199445724487305,5.123543739318848,5.594444274902344,5.100500106811523
88,4,2025-10-17,4.93149995803833,5.137801647186279,4.597095012664795,5.655402660369873,4.597095012664795,5.137801647186279,5.655402660369873,5.100500106811523
88,5,2025-10-18,4.953666687011719,5.156396865844727,4.546277046203613,5.694159030914307,4.546277046203613,5.156396865844727,5.694159030914307,5.100500106811523
88,6,2025-10-19,4.975833415985107,5.116430282592773,4.443200588226318,5.6905412673950195,4.443200588226318,5.116430282592773,5.6905412673950195,5.100500106811523
88,7,2025-10-20,4.998000144958496,5.095777988433838,4.314789295196533,5.704896450042725,4.314789295196533,5.095777988433838,5.704896450042725,5.100500106811523
89,1,2025-10-15,4.9720001220703125,4.972356796264648,4.696588039398193,5.167215824127197,4.696588039398193,4.972356796264648,5.167215824127197,4.980500221252441
89,2,2025-10-16,4.958000183105469,4.983731269836426,4.57770299911499,5.3861846923828125,4.57770299911499,4.983731269836426,5.3861846923828125,4.980500221252441
89,3,2025-10-17,4.93149995803833,4.975276947021484,4.513035297393799,5.495744705200195,4.513035297393799,4.975276947021484,5.495744705200195,4.980500221252441
89,4,2025-10-18,4.953666687011719,4.98342227935791,4.471147537231445,5.5499396324157715,4.471147537231445,4.98342227935791,5.5499396324157715,4.980500221252441
89,5,2025-10-19,4.975833415985107,4.977733612060547,4.461493492126465,5.611693859100342,4.461493492126465,4.977733612060547,5.611693859100342,4.980500221252441
89,6,2025-10-20,4.998000144958496,4.963614463806152,4.4513936042785645,5.65919303894043,4.4513936042785645,4.963614463806152,5.65919303894043,4.980500221252441
89,7,2025-10-21,4.929999828338623,4.9817304611206055,4.418476104736328,5.744752407073975,4.418476104736328,4.9817304611206055,5.744752407073975,4.980500221252441
90,1,2025-10-16,4.958000183105469,4.969851493835449,4.773924827575684,5.154386043548584,4.773924827575684,4.969851493835449,5.154386043548584,4.9720001220703125
90,2,2025-10-17,4.93149995803833,4.968470573425293,4.587533950805664,5.3428425788879395,4.587533950805664,4.968470573425293,5.3428425788879395,4.9720001220703125
90,3,2025-10-18,4.953666687011719,4.957284927368164,4.5072503089904785,5.464354515075684,4.5072503089904785,4.957284927368164,5.464354515075684,4.9720001220703125
90,4,2025-10-19,4.975833415985107,4.9759931564331055,4.4431657791137695,5.546936988830566,4.4431657791137695,4.9759931564331055,5.546936988830566,4.9720001220703125
90,5,2025-10-20,4.998000144958496,4.989223480224609,4.40769624710083,5.605367183685303,4.40769624710083,4.989223480224609,5.605367183685303,4.9720001220703125
90,6,2025-10-21,4.929999828338623,4.968778610229492,4.342103004455566,5.645558834075928,4.342103004455566,4.968778610229492,5.645558834075928,4.9720001220703125
90,7,2025-10-22,4.960999965667725,4.967090606689453,4.297475337982178,5.658376693725586,4.297475337982178,4.967090606689453,5.658376693725586,4.9720001220703125
91,1,2025-10-17,4.93149995803833,4.956469535827637,4.749572277069092,5.254828929901123,4.749572277069092,4.956469535827637,5.254828929901123,4.958000183105469
91,2,2025-10-18,4.953666687011719,4.956775665283203,4.564173221588135,5.309102535247803,4.564173221588135,4.956775665283203,5.309102535247803,4.958000183105469
91,3,2025-10-19,4.975833415985107,4.9552459716796875,4.405174732208252,5.405969619750977,4.405174732208252,4.9552459716796875,5.405969619750977,4.958000183105469
91,4,2025-10-20,4.998000144958496,4.950505256652832,4.417686939239502,5.418400764465332,4.417686939239502,4.950505256652832,5.418400764465332,4.958000183105469
91,5,2025-10-21,4.929999828338623,4.965353965759277,4.396697521209717,5.5233283042907715,4.396697521209717,4.965353965759277,5.5233283042907715,4.958000183105469
91,6,2025-10-22,4.960999965667725,4.958918571472168,4.395854473114014,5.524291038513184,4.395854473114014,4.958918571472168,5.524291038513184,4.958000183105469
91,7,2025-10-23,5.081999778747559,4.964280605316162,4.30958366394043,5.573581218719482,4.30958366394043,4.964280605316162,5.573581218719482,4.958000183105469
92,1,2025-10-18,4.953666687011719,4.928455829620361,4.716141223907471,5.246696949005127,4.716141223907471,4.928455829620361,5.246696949005127,4.93149995803833
92,2,2025-10-19,4.975833415985107,4.9324140548706055,4.521369934082031,5.455234050750732,4.521369934082031,4.9324140548706055,5.455234050750732,4.93149995803833
92,3,2025-10-20,4.998000144958496,4.926630020141602,4.46452522277832,5.464374542236328,4.46452522277832,4.926630020141602,5.464374542236328,4.93149995803833
92,4,2025-10-21,4.929999828338623,4.940796852111816,4.362837314605713,5.539830207824707,4.362837314605713,4.940796852111816,5.539830207824707,4.93149995803833
92,5,2025-10-22,4.960999965667725,4.936679363250732,4.319303512573242,5.575710773468018,4.319303512573242,4.936679363250732,5.575710773468018,4.93149995803833
92,6,2025-10-23,5.081999778747559,4.896451950073242,4.254607200622559,5.650946617126465,4.254607200622559,4.896451950073242,5.650946617126465,4.93149995803833
92,7,2025-10-24,5.093500137329102,4.8717241287231445,4.159475803375244,5.633910179138184,4.159475803375244,4.8717241287231445,5.633910179138184,4.93149995803833
93,1,2025-10-19,4.975833415985107,4.951831817626953,4.7420244216918945,5.263878345489502,4.7420244216918945,4.951831817626953,5.263878345489502,4.953666687011719
93,2,2025-10-20,4.998000144958496,4.944345951080322,4.531020164489746,5.415136337280273,4.531020164489746,4.944345951080322,5.415136337280273,4.953666687011719
